ID,Purposes,tg_columns,Operations,Category,
1,Find the longest menu served (by page count).,page_count,numeric,Descriptive Statistics,
2,What is the average page numbers for the menus?,page_count,numeric,Descriptive Statistics,
3,Determine the number of distinct event types in the dataset.,event,"trim, mass_edit, upper",Counting and Grouping,
4,"List number of rows where the menu event is specifically marked as ""DINNER"".",event,"trim, mass_edit, upper",Counting and Grouping,
5,"List number of rows where the menu event is marked as ""LUNCHEON""",event,"trim, mass_edit, upper",Counting and Grouping,
6,Identify the number of unique venues present in the dataset.,venue,"split_column, mass_edit, regexr_transform",Counting and Grouping,
7,Find number of menus that are for Daily used occasion.,occasion,"mass_edit, upper",Category or Type Classification,
8,"Determine the number of unique occasions in the dataset, replacing any missing values with UNKNOWN",occasion,"mass_edit, upper",Category or Type Classification,
9,Evaluate whether the menu page design needs redesign by identifying the highest dish count-to-page count ratio.,"page_count, dish_count",numeric,Time-based Analysis,
10,Calculate the average dish count per menu.,dish_count,"regexr_transform, numeric",Descriptive Statistics,
11,Identify the menu with the highest dish count-to-page count ratio.,"page_count, dish_count","regexr_transform, numeric",Descriptive Statistics,
12,"Identify how many locations offer menus with more than 8 pages, replacing any missing or unexist locations with
""UNKNOWN"".","page_count, location","numeric, mass_edit, trim, upper",Filtering and Specific Queries,
13,Identify sponsors who have published that they accept Dollars.,"sponsor, currency","mass_edit, upper,trim",Category or Type Classification,
14,Find the sponsors that offer the highest number of dishes on their menu.,"sponsor, dish_count","mass_edit, upper, numeric",Descriptive Statistics,
15,Identify which sponsors offer breakfast.,"sponsor, event","mass_edit, upper, trim",Category or Type Classification,
16,Identify which sponsors offer lunch.,"sponsor, event","mass_edit, upper, trim",Category or Type Classification,
17,Identify which sponsors offer dinner.,"sponsor, event","mass_edit, upper, trim",Category or Type Classification,
18,Identify sponsors that have two or more events available.,"sponsor, event","mass_edit, upper, trim,regexr_transform",Category or Type Classification,
19,Determine the average number of pages for menus across different venues.,"page_count, venue","regexr_transform, numeric, mass_edit, upper, trim",Descriptive Statistics,
20,Count the number of unique sponsors in the dataset.,sponsor,"regexr_transform, upper, mass_edit, trim",Counting and Grouping,
21,List the number of rows where the event is specifically marked as 'BANQUET.',event,"mass_edit, upper, trim",Counting and Grouping,
22,Determine the total number of unique occasions across all menus.,occasion,"trim, mass_edit",Counting and Grouping,
23,Identify the top three venues with the highest average dish count per menu.,"venue, dish_count","mass_edit, upper, trim, regexr_transform, numeric",Descriptive Statistics,
24,"Classify menus by their status, i.e., how many different status recorded in the table.",status,"mass_edit, upper, trim",Category or Type Classification,
25,Identify menus where sponsors accept dollers as currency.,"sponsor, currency","regexr_transform, upper, mass_edit, trim",Category or Type Classification,
26,Analyze the trend of menu publication over time by counting the number of menus published per year.,date,"date, regexr_transform",Time-based Analysis,
