ID,Purposes
1,What is the highest (or maximum) page count recorded in the menu table?
6,Identify the number of unique venues present in the dataset.
9,Evaluate whether the menu page design needs redesign by identifying the highest dish count-to-page count ratio.
10,Calculate the average dish count per menu.
11,Identify the menu with the highest dish count-to-page count ratio.
12,"Identify how many locations offer menus with more than 8 pages, replacing any missing or unexist locations with ""UNKNOWN""."
13,Identify sponsors who have published that they accept Dollars.
14,Find the sponsors that offer the highest number of dishes on their menu.
20,Count the number of unique sponsors in the dataset.
21,List the number of rows where the event is specifically marked as 'BANQUET.'
25,"Identify the currency accepted among the sponsors, e.g., dollars."
26,Analyze the trend of menu publication over time by counting the number of menus published per year.
28,Identify venues where the page count exceeds 10.
29,Filter menus where the occasion column contains 'DAILY'.
30,How many different types of currency in menus?
31,Count how many types of risks are recorded in the dataset.
33,Identify the main facility types that are inspected.
53,"List the inspection results for all businesses with ""Risk 1 (Low)."""
54,Determine the most recent year of inspection dates.
60,Determine the id of facility type that are inspected in the most recent date.
