ID,Purposes,Category,Target Column,Column Types,Operations
10,Calculate the average dish count per menu.,Descriptive Statistics,dish_count,Integer,"regexr_transform, numeric"
11,Identify the menu with the highest dish count-to-page count ratio.,Descriptive Statistics,"page_count, dish_count",Integer,"regexr_transform, numeric"
19,Determine the average number of pages for menus across different venues.,Descriptive Statistics,"page_count, venue","Integer, String","regexr_transform, numeric, mass_edit, upper, trim"
20,Count the number of unique sponsors in the dataset.,Counting and Grouping,sponsor,String,"regexr_transform, upper, mass_edit, trim"
21,List the number of rows where the event is specifically marked as 'BANQUET.',Counting and Grouping,event,String,"mass_edit, upper, trim"
22,Determine the total number of unique occasions across all menus.,Counting and Grouping,occasion,String,"trim, mass_edit"
23,Identify the top three venues with the highest average dish count per menu.,Descriptive Statistics,"venue, dish_count","Integer, String","mass_edit, upper, trim, regexr_transform, numeric"
24,"Classify menus by their status, i.e., how many different status recorded in the table.",Category or Type Classification,status,String,"mass_edit, upper, trim"
25,Identify menus where sponsors accept dollers as currency.,Category or Type Classification,"sponsor, currency",String,"regexr_transform, upper, mass_edit, trim"
26,Analyze the trend of menu publication over time by counting the number of menus published per year.,Time-based Analysis,date,Date,"date, regexr_transform"
27,"Evaluate whether menus created in later years (e.g., after 1950) tend to have higher dish count-to-page count ratio.",Time-based Analysis,"date, page_count, dish_count","Date, Integer","date, regexr_transform, numeric"
28,Identify venues where the page count exceeds 10.,Filtering and Specific Queries,"page_count, venue","Integer, String","regexr_transform, mass_edit, upper, trim,numeric"
29,Filter menus where the occasion column contains 'DAILY'.,Filtering and Specific Queries,occasion,String,"trim, mass_edit"
30,How many different types of currency in menus?,Filtering and Specific Queries,currency,String,"mass_edit, trim"
35,Count the unique types of inspections.,Counting and Grouping,Inspection Type,string,"upper, trim, mass_edit"
43,Find the most common result for each facility.,Counting and Grouping,"Facility Type, Results",string,"trim, mass_edit, upper, regexr_transform"
44,Explore the proportion of inspections that result in a positive outcome.,Descriptive Statistics,Results,string,"upper, trim, mass_edit"
45,Calculate the average number of inspections per facility type.,Descriptive Statistics,"Facility Type, Inspection ID","string, integer","mass_edit, regexr_transform, trim, upper, numeric"
46,"What is the correlation between risk level and risk label? For example, is risk 1 always with high?",Filtering and Specific Queries,Risk,string,"regexr_transform, mass_edit, trim"
47,Determine the facility type with the highest failure rate.,Descriptive Statistics,"Facility Type, Results",string,"mass_edit, regexr_transform, trim, upper"
48,List the franchise with the most frequent inspections.,Filtering and Specific Queries,"DBA Name, Inspection ID","string, integer","regexr_transform, mass_edit, trim, numeric"
50,Count the number of inspections conducted as part of a complaint.,Descriptive Statistics,Inspection Type,string,"mass_edit, trim, upper"
51,Locate facilities with positive inspection results.,Filtering and Specific Queries,"Facility Type,Results",string,"trim, upper, mass_edit, regexr_transform"
53,"List the inspection results for all businesses with ""Risk 1 (Low).""",Filtering and Specific Queries,"Risk, Results",string,"trim, mass_edit, upper, regexr_transform"
