ID,Purposes
2,What is the average page numbers for the menus?
3,Determine the number of distinct event types in the dataset.
4,"List number of rows where the menu event is specifically marked as ""DINNER""."
5,"List number of rows where the menu event is marked as ""LUNCHEON"""
7,Find number of menus that are for Daily used occasion.
8,"Determine the number of unique occasions in the dataset, replacing any missing values with UNKNOWN"
15,Identify which sponsors offer breakfast.
16,Identify which sponsors offer lunch.
17,Identify which sponsors offer dinner.
18,Identify sponsors that have two or more events available.
19,Determine the average number of pages for menus across different venues.
22,Determine the total number of unique occasions across all menus.
23,Identify the top three venues with the highest average dish count per menu.
24,"Classify menus by their status, i.e., how many different status recorded in the table."
27,"Evaluate whether menus created in later years (e.g., after 1950) tend to have higher dish count-to-page count ratio."
32,What percentages of businesses are inspected as 'out of business'?
34,Identify which facility types are inspected least frequently.
35,Count the unique types of inspections.
36,"List all failed inspections for the establishment with the DBA name ""7-Eleven."""
37,"Calculate the inspection passing rate (number of passing inspections/total inspections) for each brand (the same DBA Name), sorting to identify the best brand."
38,List the facilities with the best inspection ratings: Risk 3 (Low).
39,List the facilities with the worst inspection ratings: Risk 1 (High)
40,Identify the most frequently occurring risk rating for each facility type.
41,Identify the facility type associated with the risk level as the Risk 1.
42,Determine how many grocery stores -a facility type are classified as high risk (Risk 1).
43,Find the most common result for each facility.
44,Explore the proportion of inspections that result in a positive outcome.
45,Calculate the average number of inspections per facility type.
46,"What is the correlation between risk level and risk label? For example, is risk 1 always with high?"
47,Determine the facility type with the highest failure rate.
48,List the franchise with the most frequent inspections.
49,"Determine the number of school restaurants that are the safest in terms of standards and quality, as indicated by the lowest risk level and inspection results."
50,Count the number of inspections conducted as part of a complaint.
51,Locate facilities with inspection result as "pass".
52,Identify where facilities that are considered safe for food consumption based on risk (Risk 3 (Low)) and inspection results (pass).
55,Identify the most occurred business names.
56,List license IDs with the best inspection results (Pass).
57,Identify businesses where the inspection risk level varies significantly over time.
58,Identify the most common risk levels for inspections conducted in restaurant.
59,Identify businesses inspected on the most recent date.
62,Calculate the average loan amount across all PPP loans.
63,What's the highest LoanAmount?
64,What's the lowest LoanAmount?
65,Report all NAICS Codes that indicate job counts greater than 3.0.
66,Examine if a correlation exists between jobs reported and the loan amount received.
67,Determine how many PPP loans were disbursed in the city of Honolulu.
68,Identify the top 10 business types that received the most PPP loans.
69,Identify the types of businesses that received the highest amount of PPP loans and the corresponding dollar amounts.
70,Identify the types of businesses that received the lowest amount of PPP loans and the corresponding dollar amounts.
71,Check if multiple PPP loans were made to distinct companies sharing the same Zip code.
72,"For a given zip code, determine how many loans were provided."
73,"For a given zip code, calculate the total amount of all loans provided."
74,Which gender type received the most amount of PPP loans and dollar amount?
75,Which gender type districts received the least  amount of PPP loans and dollar amount?
76,Identify the cities that received the highest amount of PPP loans and the corresponding dollar amounts.
77,Identify the cities that received the lowest amount of PPP loans and the corresponding dollar amounts.
78,Determine the zip codes that received the highest amount of PPP loans and the corresponding dollar amounts.
79,Determine the zip codes that received the lowest amount of PPP loans and the corresponding dollar amounts.
80,Determine which races received the highest amount of PPP loans and the corresponding dollar amounts.
81,Determine which races received the lowest amount of PPP loans and the corresponding dollar amounts.
87,Calculate the ratio of total Loan Amount to Jobs Reported in each city (total Loan Amount in the city divided by total Jobs Reported in the city).
89,"Identify geography that have the highest loan amounts. Geography defined by the fields City and Zip Code."
92,Calculate the average number of times each dish has appeared on the menu.
