,Unnamed: 0,accuracy,semantic_similarity,precision,recall,f1,bertscore_p,bertscore_r,bertscore_f1,pp_id,flag,data,model
mean,40.02272727272727,0.36363636363636365,0.632574273793693,0.4638988106367785,0.46487494778613203,0.46040644795063107,0.9334673299030825,0.9256505844267932,0.9292206723581661,69.8409090909091,0.0,Total,dirty
mean,22.5,0.125,0.47506724675423406,0.14285714285714285,0.16666666666666666,0.15,0.9047032222151756,0.8778434470295906,0.8904595151543617,39.25,0.0,Menu,dirty
mean,59.0,0.2,0.5548309709012016,0.3013333333333333,0.3013333333333333,0.3013333333333333,0.9181119918823242,0.908401616414388,0.913097369670868,102.6,0.0,Dish,dirty
mean,22.5,0.125,0.47506724675423406,0.14285714285714285,0.16666666666666666,0.15,0.9047032222151756,0.8778434470295906,0.8904595151543617,39.25,0.0,CFI,dirty
mean,41.4,0.6,0.7615789651908741,0.668997668997669,0.7017857142857143,0.682156371320458,0.9515555421511332,0.9612533887227376,0.9561201413472493,75.13333333333334,0.0,PPP,dirty
mean,40.02272727272727,0.3409090909090909,0.7526506853758211,0.5960047681638591,0.6073556761221235,0.5887135134979963,0.9287834885445508,0.9248454882339998,0.9262750487435948,69.8409090909091,0.0,Total,llama3.1
mean,22.5,0.25,0.5618709301843493,0.46875,0.40625,0.4270833333333333,0.9201776906847954,0.8823941946029663,0.900377944111824,39.25,0.0,Menu,llama3.1
mean,59.0,0.26666666666666666,0.790378295337548,0.6175225225225226,0.6030000000000001,0.609176245210728,0.8974199930826823,0.8956483046213786,0.8962548017501831,102.6,0.0,Dish,llama3.1
mean,22.5,0.25,0.5618709301843493,0.46875,0.40625,0.4270833333333333,0.9201776906847954,0.8823941946029663,0.900377944111824,39.25,0.0,CFI,llama3.1
mean,41.4,0.4666666666666667,0.8183912669177077,0.5792429792429792,0.5920634920634921,0.584126984126984,0.9647826433181763,0.9658780892690023,0.9649717529614766,75.13333333333334,0.0,PPP,llama3.1
mean,40.02272727272727,0.22727272727272727,0.6058923147551246,0.4286707421366512,0.40946369237487656,0.4135245915630778,0.9313709004358812,0.9156555966897444,0.9229979664087296,69.8409090909091,0.0,Total,mistral
mean,22.5,0.125,0.6124523576758941,0.40625,0.33125,0.35267857142857145,0.9328375235199928,0.9025573059916496,0.9168390184640884,39.25,0.0,Menu,mistral
mean,59.0,0.13333333333333333,0.456434980153749,0.25716666666666665,0.25716666666666665,0.25716666666666665,0.9099519729614258,0.8844430128733317,0.8968102335929871,102.6,0.0,Dish,mistral
mean,22.5,0.125,0.6124523576758941,0.40625,0.33125,0.35267857142857145,0.9328375235199928,0.9025573059916496,0.9168390184640884,39.25,0.0,CFI,mistral
mean,41.4,0.4,0.6931493639619699,0.48677544677544676,0.5081349206349206,0.4952282667452946,0.9431906620661418,0.9479951659838358,0.9450772285461426,75.13333333333334,0.0,PPP,mistral
mean,40.02272727272727,0.3409090909090909,0.6595543201937321,0.47101452840089203,0.46771818276752486,0.4686197381050322,0.9446116374297575,0.9236915003169667,0.9337460872801867,69.8409090909091,0.0,Total,gemma2
mean,22.5,0.25,0.4784218985199377,0.25,0.25,0.25,0.9216218367218971,0.8771554231643677,0.898297056555748,39.25,0.0,Menu,gemma2
mean,59.0,0.26666666666666666,0.639261304348148,0.425,0.425,0.425,0.9279080828030905,0.9047539790471395,0.9159970760345459,102.6,0.0,Dish,gemma2
mean,22.5,0.25,0.4784218985199377,0.25,0.25,0.25,0.9216218367218971,0.8771554231643677,0.898297056555748,39.25,0.0,CFI,gemma2
mean,41.4,0.5333333333333333,0.8352775788097214,0.5962962962962963,0.6101190476190477,0.6024509803921568,0.9763179063796997,0.9694096008936565,0.9726628263791403,75.13333333333334,0.0,PPP,gemma2
