index,Unnamed: 0,accuracy,semantic_similarity,precision,recall,f1,bertscore_p,bertscore_r,bertscore_f1,pp_id,data,model
mean,70.5,0.2676056338028169,0.6291548559317944,0.47088909883077523,0.45541440564120467,0.44769312683944434,0.9443106533775867,0.9432360781750209,0.9432355849675729,76.7394366197183,Total,llama3.1
mean,15.0,0.22580645161290322,0.5761932313497365,0.5019877971490874,0.5333306054950175,0.4838194752655954,0.9551270834861263,0.9542498338607049,0.9541587233543396,,Menu,llama3.1
mean,90.0,0.11764705882352941,0.809660408235984,0.3,0.27058823529411763,0.2803921568627451,0.9053493352497325,0.9320537447929382,0.9182498980970943,,Dish,llama3.1
mean,45.0,0.3870967741935484,0.6679162852020294,0.6102534562211982,0.5881720430107528,0.5792626728110598,0.9559665206939943,0.9549297748073455,0.9551447418428236,,CFI,llama3.1
mean,71.0,0.391304347826087,0.6780350450780164,0.4710427253905515,0.4613095238095238,0.4642977007736733,0.9207214246625486,0.9300420051035674,0.9248711648194686,,PPP,llama3.1
mean,127.5,0.25,0.6255039778307573,0.39114645858343344,0.3765469649398221,0.379767316017316,0.9838206448725292,0.9831609768526894,0.9834350326231548,,Hospital,llama3.1
mean,106.0,0.23529411764705882,0.4524929097689444,0.5588640973630832,0.44993114302577214,0.4826203208556149,0.923726853202371,0.8790637745576746,0.8996527931269478,,Flights,llama3.1
mean,70.5,0.16901408450704225,0.5543729741671655,0.4098958899197093,0.367144118895793,0.36961889793039904,0.9378780970271204,0.9345938269521149,0.9356605204897868,76.7394366197183,Total,gemma2base
mean,15.0,0.16129032258064516,0.5537568395076453,0.4715231005553586,0.46637068369638607,0.4378253384084933,0.9553744235346394,0.9501180514212577,0.9522644704388034,,Menu,gemma2base
mean,90.0,0.23529411764705882,0.673384033872072,0.3980392156862745,0.355183715715025,0.367915188515799,0.9153284220134511,0.9158767917576958,0.9151295107953689,,Dish,gemma2base
mean,45.0,0.1935483870967742,0.5805505483836972,0.3688556067588326,0.3333333333333333,0.33333333333333337,0.9411247526445696,0.9400504250680247,0.9399348958846061,,CFI,gemma2base
mean,71.0,0.2608695652173913,0.525509372423054,0.3614010989010989,0.36671842650103514,0.3623355864084764,0.9046650528907776,0.9102847964867301,0.9067429874254309,,PPP,gemma2base
mean,127.5,0.14285714285714285,0.5375110161062235,0.34980658930238767,0.3330815018315018,0.333626443001443,0.9679449413503919,0.9736405164003372,0.9706700571945736,,Hospital,gemma2base
mean,106.0,0.11764705882352941,0.4954003203387611,0.6635294117647059,0.4090471903771136,0.4841642792474359,0.9340878830236548,0.8994549863478717,0.9156923960236942,,Flights,gemma2base
mean,70.5,0.2605633802816901,0.6205641386043241,0.47638161523480443,0.4437195945185766,0.4446420892929323,0.9410862099956459,0.9362940355925493,0.9382253503295738,76.7394366197183,Total,gemma2
mean,15.0,0.25806451612903225,0.6079128438649689,0.5023790579679552,0.5222249250344985,0.48904670925021476,0.9538608577943617,0.9430903311698667,0.9478640306380487,,Menu,gemma2
mean,90.0,0.35294117647058826,0.7355791177469317,0.5117647058823529,0.47700534759358293,0.4870967741935484,0.9396314726156347,0.9267764442107257,0.9329964728916392,,Dish,gemma2
mean,45.0,0.3225806451612903,0.6078164205845331,0.4414362519201229,0.4483870967741935,0.43388869195320806,0.9228472728883067,0.9213413057788726,0.9214233083109702,,CFI,gemma2
mean,71.0,0.391304347826087,0.6774037441174345,0.47995835686053073,0.47949016563146996,0.47892761795793826,0.914167557073676,0.925562612388445,0.919351049091505,,PPP,gemma2
mean,127.5,0.17857142857142858,0.6129013082053166,0.3988883053221289,0.362864665096808,0.37396214896214897,0.9759543538093567,0.9787634909152985,0.9772769638470241,,Hospital,gemma2
mean,106.0,0.17647058823529413,0.5667680864067389,0.7341176470588235,0.4723956066667063,0.5495237563716189,0.9466590776162989,0.9206169493058148,0.9331259482047137,,Flights,gemma2
