,Unnamed: 0,accuracy,semantic_similarity,precision,recall,f1,bertscore_p,bertscore_r,bertscore_f1,pp_id,flag,data,model
mean,71.85858585858585,0.06060606060606061,0.5072478240388899,0.23528936138585257,0.23958207896977093,0.21470583201706445,0.8773096167679989,0.8854784261096608,0.8800219279347044,78.39393939393939,0.0,Total,dirty
mean,17.210526315789473,0.10526315789473684,0.5394640989193586,0.47012081485765694,0.4997434527994799,0.4178553767015768,0.91113858787637,0.9053466288666976,0.9072059988975525,,0.0,Menu,dirty
mean,90.5,0.0,0.6569786668006552,0.09375,0.09375,0.09375,0.8595404475927353,0.870575163513422,0.8633357882499695,,0.0,Dish,dirty
mean,45.80952380952381,0.14285714285714285,0.5569772134070512,0.2753968253968254,0.28174603174603174,0.24693877551020404,0.8786189556121826,0.9025199299766904,0.8891982748394921,,0.0,CFI,dirty
mean,72.4,0.06666666666666667,0.3795899513569177,0.17544973544973544,0.1775793650793651,0.17408199643493763,0.8560395439465841,0.8843870043754578,0.8692827860514323,,0.0,PPP,dirty
mean,127.53333333333333,0.0,0.5863678922792125,0.19502923976608186,0.21313797313797309,0.19715835741411186,0.895509127775828,0.9265974322954814,0.9104406515757243,,0.0,Hospital,dirty
mean,105.42857142857143,0.0,0.23358349253441238,0.10863095238095237,0.06757667677789012,0.07587897277924231,0.8478969548429761,0.787889838218689,0.8143799645560128,,0.0,Flights,dirty
mean,71.85858585858585,0.08080808080808081,0.5411775696909203,0.3900458764184254,0.3482582833899884,0.346899323225585,0.9000343794774528,0.890112574052329,0.8939550783899095,78.39393939393939,0.0,Total,mistral
mean,17.210526315789473,0.10526315789473684,0.5626125578272907,0.552708694813958,0.5434092181686975,0.492582748807412,0.9185407412679572,0.9005316590007982,0.9081100884236788,,0.0,Menu,mistral
mean,90.5,0.0,0.5199674790295428,0.15625,0.11931818181818182,0.13004032258064516,0.8545014560222626,0.8354932554066181,0.8436736986041069,,0.0,Dish,mistral
mean,45.80952380952381,0.14285714285714285,0.6023045848115143,0.4305555555555555,0.36507936507936506,0.3732838589981447,0.9142215251922607,0.9086227104777381,0.9103893552507673,,0.0,CFI,mistral
mean,72.4,0.06666666666666667,0.38755972474812367,0.1544973544973545,0.1611111111111111,0.15593582887700533,0.8609680453936259,0.874207365512848,0.8666111906369527,,0.0,PPP,mistral
mean,127.53333333333333,0.06666666666666667,0.6533754377066713,0.4249299719887955,0.42907814407814404,0.4198261183261183,0.9287727912267049,0.9407455046971639,0.9343072891235351,,0.0,Hospital,mistral
mean,105.42857142857143,0.07142857142857142,0.48242586782349894,0.6342857142857142,0.43809210113557945,0.5006121803560134,0.921254792383739,0.877172474350248,0.8978247472218105,,0.0,Flights,mistral
mean,71.85858585858585,0.36363636363636365,0.7578964686791573,0.6523505377768944,0.6079396362341521,0.6094904660716108,0.9561078133005084,0.9479981588594841,0.9516236986776795,78.39393939393939,0.0,Total,gemma2
mean,17.210526315789473,0.15789473684210525,0.6877172450261947,0.7116710978400085,0.6453212291073073,0.6378496323296148,0.949169745570735,0.9371469836486014,0.9423554853389138,,0.0,Menu,gemma2
mean,90.5,0.375,0.7634351571406658,0.64375,0.5725439882697947,0.593929211469534,0.9545369446277618,0.9318601004779339,0.9426209591329098,,0.0,Dish,gemma2
mean,45.80952380952381,0.42857142857142855,0.7988095824951474,0.6391723356009069,0.7063492063492064,0.6561723990295418,0.9567007819811503,0.9611569075357347,0.9586828776768276,,0.0,CFI,gemma2
mean,72.4,0.5333333333333333,0.8259368317919598,0.663888888888889,0.6464285714285715,0.6485185185185185,0.9561554869016011,0.9532111048698425,0.9545655250549316,,0.0,PPP,gemma2
mean,127.53333333333333,0.5333333333333333,0.8747896652455105,0.5399999999999999,0.5348717948717948,0.5373333333333332,0.9770630041758219,0.9847597161928813,0.9807164589564006,,0.0,Hospital,gemma2
mean,105.42857142857143,0.14285714285714285,0.565227590907919,0.7342857142857142,0.47289063593411423,0.552199481943315,0.9444349237850734,0.9160742461681366,0.9296646160738808,,0.0,Flights,gemma2
mean,71.85858585858585,0.2222222222222222,0.6879339628863566,0.5241048090421131,0.4912111778329176,0.4905613532453186,0.931572098322589,0.9268713364697466,0.9285213820862047,78.39393939393939,0.0,Total,llama3.1
mean,17.210526315789473,0.05263157894736842,0.6190780626887155,0.5543395201289938,0.5474664994189612,0.5086100183378983,0.9305030734915483,0.923839343221564,0.9264415533919084,,0.0,Menu,llama3.1
mean,90.5,0.125,0.6577403248588841,0.28482142857142856,0.25544354838709676,0.26458333333333334,0.8814422599971294,0.8852171897888184,0.8820836953818798,,0.0,Dish,llama3.1
mean,45.80952380952381,0.38095238095238093,0.804128661288034,0.6178571428571429,0.6527777777777778,0.623771730914588,0.9648013710975647,0.9612052724474952,0.9627367485137213,,0.0,CFI,llama3.1
mean,72.4,0.26666666666666666,0.6611541727632151,0.4912337662337663,0.4175595238095238,0.4354469507101086,0.9038160443305969,0.9168256123860677,0.9096514145533244,,0.0,PPP,llama3.1
mean,127.53333333333333,0.3333333333333333,0.7985432023927215,0.5416666666666666,0.4993650793650793,0.5161979597463469,0.9755168040593465,0.976557993888855,0.9759941458702087,,0.0,Hospital,llama3.1
mean,105.42857142857143,0.14285714285714285,0.5026408158952732,0.5948768472906404,0.47705314009661837,0.5210550202485686,0.9141139600958142,0.862453009401049,0.8860131161553519,,0.0,Flights,llama3.1
