ID,Purposes,Category,Target Column,Column Types ,Operations,
10,Calculate the average dish count per menu across all venues.,Descriptive Statistics,dish_count,Integer,"regexr_transform, numeric",
11,Identify the menu with the highest dish count-to-page count ratio.,Descriptive Statistics,"page_count, dish_count",Integer,"regexr_transform, numeric",
19,Determine the average number of pages for menus across different venues.,Descriptive Statistics,"page_count, venue","Integer, String","regexr_transform, numeric, mass_edit, upper, trim",
20,Count the number of unique sponsors in the dataset.,Counting and Grouping,sponsor,String,"regexr_transform, upper, mass_edit, trim",
21,List the number of rows where the event is specifically marked as 'BANQUET.',Counting and Grouping,event,String,"mass_edit, upper, trim",
22,Determine the total number of unique occasions across all menus.,Counting and Grouping,occasion,String,"trim, mass_edit",
23,Identify the top three venues with the highest average dish count per menu.,Descriptive Statistics,"venue, dish_count","Integer, String","mass_edit, upper, trim, regexr_transform, numeric",
24,"Classify menus by their status, i.e., how many different status recorded in the table.",Category or Type Classification,status,String ,"mass_edit, upper, trim",
25,Identify menus where sponsors accept a currency.,Category or Type Classification,"sponsor, currency",String,"regexr_transform, upper, mass_edit, trim",
26,Analyze the trend of menu publication over time by counting the number of menus published per year.,Time-based Analysis,date,Date,"date, regexr_transform",
27,"Evaluate whether menus created in later years (e.g., after 1950) tend to have more pages or dishes.",Time-based Analysis,"date, page_count, dish_count","Date, Integer","date, regexr_transform, numeric",
28,"Identify menus where the page count exceeds 10, and check if the associated venue information is complete.",Filtering and Specific Queries,"page_count, venue","Integer, String","regexr_transform, mass_edit, upper, trim,numeric",
29,Filter menus where the occasion column contains 'DAILY'.,Filtering and Specific Queries,occasion,String,"trim, mass_edit",
30,How many different types of currency in menus?,Filtering and Specific Queries,currency,String ,"trim, mass_edit",
35,Count the unique types of inspections.,Counting and Grouping,Inspection Type,string,"upper, trim, mass_edit",
43,Find the most common result for each facility.,Counting and Grouping,"Facility Type, Results",string,"trim, mass_edit, upper, regexr_transform",
44,Explore the proportion of inspections that result in a positive outcome.,Descriptive Statistics,Results,string,"upper, trim, mass_edit",
45,Calculate the average number of inspections per facility type.,Descriptive Statistics,"Facility Type, Inspection ID","string, integer","mass_edit, regexr_transform, trim, upper, numeric",
46,"The larger the risk level, the less danger it would be, i.e., risk 1 is always with high.",Filtering and Specific Queries,Risk,string,"regexr_transform, mass_edit, trim",
47,Determine the facility type with the highest failure rate.,Descriptive Statistics,"Facility Type, Results",string,"mass_edit, regexr_transform, trim, upper",
48,List the franchise with the most frequent inspections.        ,Filtering and Specific Queries,"DBA Name, Inspection ID","string, integer","regexr_transform, mass_edit, trim, numeric",
50,Determine the percentage of inspections conducted as part of a complaint,Descriptive Statistics,Inspection Type,string,"mass_edit, trim, upper",
51,Locate facilities with positive inspection results.,Filtering and Specific Queries,"Facility Type, Results",string,"trim, upper, mass_edit, regexr_transform",
53,"List the inspection results for all businesses with ""Risk 1 (Low).""",Filtering and Specific Queries,"Risk, Results",string,"trim, mass_edit, upper, regexr_transform",
54,Determine the number of businesses inspected each year.,Time-based Analysis,Inspection Date,date,"regexr_transform, trim, date",
55,Identify businesses with consistently frequent inspections.,Counting and Grouping,DBA Name,string,"regexr_transform, trim, upper, mass_edit",
56,"List the licence IDs with the best inspection results (i.e., Pass).",Descriptive Statistics,"License #, Results",string,"trim, regexr_transform, mass_edit, upper, numeric",
57,Identify businesses where the inspection risk level varies significantly over time.,Time-based Analysis,"DBA Name, Risk, Inspection Date","string, date","regexr_transform, trim, upper, mass_edit, date",
58,Identify the most common risk levels for inspections conducted in grocery stores,Counting and Grouping,"Facility Type, Risk",string,"regexr_transform, trim, upper, mass_edit",
59,Calculate the average time (in days) between inspections for each franchise.,Time-based Analysis,"DBA Name, Inspection Date","string, date","regexr_transform, trim, upper, date",
60,Determine the top 5 facility types with the highest average number of inspections per year.,Descriptive Statistics,"Facility Type, Inspection ID, Inspection Date","string, number, date","regexr_transform, trim, numeric, mass_edit, upper, date",
127,Count the number of hospitals per city.,Counting and Grouping,Counting and Grouping ,City,string,"trim,upper, mass_edit"
128,Explore whether larger cities host more hospitals.,Correlations and Relationships,Counting and Grouping ,City,string,"trim,upper, mass_edit"
129,Calculate the average number of hospitals per county.,Descriptive Statistics,Descriptive Statistics,CountyName,string,"trim,upper, mass_edit"
130,"Determine the top 3  counties whose hospital type is ""acute care hospitals"" offering emergency services.",Descriptive Statistics,Descriptive Statistics,"HospitalType, CountyName, EmergencyService",string,"trim,upper, mass_edit, regexr_transform"
131,Identify the hospital ownership types that are most common in cities with multiple ZIP codes.,Descriptive Statistics,Category or Type Classification ,"HospitalOwner, City, ZipCode","string, number","trim,upper, mass_edit, regexr_transform, numeric"
132,Compute the average length of hospital names grouped by hospital type and ownership.,Descriptive Statistics,Descriptive Statistics,"HospitalName, HospitalType, HospitalOwner",string,"trim,upper, mass_edit, regexr_transform"
133,"Count the number of hospitals offering emergency services by ""acute care hospitals"" hospital type.",Counting and Grouping,Counting and Grouping ,"EmergencyService, HospitalType",string,"trim,upper, mass_edit, regexr_transform"
134,Determine the most frequent combinations of hospital type and ownership.,Counting and Grouping,Category or Type Classification ,"HospitalType, HospitalOwner",string,"trim,upper, mass_edit, regexr_transform"
135,"Count the number of hospitals by county, grouped by the presence or absence of emergency services.",Counting and Grouping,Counting and Grouping ,"CountyName, EmergencyService",string,"trim,upper, mass_edit, regexr_transform"
136,Find the number of cities with hospitals owned by voluntary non-profits and offering emergency services.,Counting and Grouping,Counting and Grouping ,"City, HospitalOwner, EmergencyService",string,"trim,upper, mass_edit, regexr_transform"
137,Classify counties into high- and low-hospital-density areas based on the number of hospitals and their types.,Category or Type Classification,Category or Type Classification ,"CountyName, HospitalType",string,"trim,upper, regexr_transform, mass_edit"
138,Identify cities where critical access hospitals are primarily government-owned.,Category or Type Classification,Category or Type Classification ,"HospitalType, HospitalOwner, City",string,"trim,upper, regexr_transform, mass_edit"
139,Categorize ZIP codes based on the diversity of hospital types and ownerships.,Category or Type Classification,Descriptive Statistics,"ZipCode, HospitalType, HospitalOwner","number, string","trim, numeric, upper, regexr_transform, mass_edit"
140,Determine the top 3 cities with the highest ratio of acute care hospitals to total hospitals.,Category or Type Classification,Descriptive Statistics,"City, HospitalType",string,"trim,upper, regexr_transform, mass_edit"
141,Calculate the average time (in days) between opening of hospitals of the same type within each city.,Time-based Analysis,Time-based Analysis,"HospitalType, City, ZipCode","number, string","trim, numeric, upper, regexr_transform, mass_edit"
142,Analyze trends in emergency service availability across hospital types with the highest hospital counts.,Time-based Analysis,Time-based Analysis,"EmergencyService, HospitalType",string,"trim, regexr_transform, mass_edit, upper"
143,Evaluate the time span between hospitals opening within the same county and their reported ownership types.,Time-based Analysis,Time-based Analysis,"CountyName, HospitalOwner, HospitalType",string,"trim, regexr_transform, mass_edit, upper"
144,Assess the relationship between hospital ownership and the likelihood of offering emergency services.,Correlations and Relationships,Correlations and Relationships,"HospitalOwner, EmergencyService",string,"trim, regexr_transform, mass_edit, upper"
145,Investigate correlations between city size (estimated by the number of hospitals) and the prevalence of emergency services.,Correlations and Relationships,Correlations and Relationships,"City, EmergencyService",string,"trim, regexr_transform, mass_edit, upper"
146,Explore the relationship between hospital types and their geographical distribution by ZIP code.,Correlations and Relationships,Correlations and Relationships,"HospitalType, ZipCode","string, number","trim, numeric, upper, regexr_transform, mass_edit"
147,Analyze how ownership type correlates with hospital type with the highest ZIP code diversity.,Correlations and Relationships,Correlations and Relationships,"HospitalOwner, HospitalType",string,"trim, mass_edit, upper, regexr_transform"
148,Retrieve hospitals that offer emergency services and are located in counties with fewer than 10 hospitals.,Filtering and Specific Queries,Filtering and Specific Queries,"EmergencyService, CountyName",string,"trim, upper, mass_edit"
149,Filter for hospitals owned by governments that are located in ZIP codes with multiple hospital types.,Filtering and Specific Queries,Filtering and Specific Queries,"HospitalOwner, ZipCode, HospitalType","string, number","trim, numeric, upper, regexr_transform, mass_edit"
150,Find hospitals with more than 3 hospitals of the same type offering emergency services.,Filtering and Specific Queries,Filtering and Specific Queries,"HospitalType, EmergencyService",string,"trim, regexr_transform, mass_edit, upper"
151,Query hospitals in cities with voluntary non-profit ownership and at least two different hospital types.,Filtering and Specific Queries,Filtering and Specific Queries,"City, HospitalOwner, HospitalType",string,"trim, regexr_transform, mass_edit, upper"
152,Identify cities where government-owned hospitals dominate the hospital landscape.,Category or Type Classification,Filtering and Specific Queries,"HospitalOwner, City",string,"trim, mass_edit, upper, regexr_transform"
153,Determine the relationship between ZIP code density and the likelihood of offering emergency services.,Correlations and Relationships,Correlations and Relationships,"ZipCode, EmergencyService","string, number","trim, mass_edit, upper, numeric"
154,Filter for hospitals located in cities with at least three different hospital ownership types.,Filtering and Specific Queries,Filtering and Specific Queries,"City, HospitalOwner",string,"trim, mass_edit, upper, regexr_transform"
111,Calculate the average delay in departure times across all flights.,Descriptive Statistics,"sched_dep_time, act_dep_time",date,"regexr_transform, trim, upper",
112,Calculate the average flight duration based on scheduled times.,Descriptive Statistics,"sched_dep_time, sched_arr_time",date,"regexr_transform, trim, upper",
113,Determine the airline carrier with the best on-time departure performance.,Descriptive Statistics,"src, sched_dep_time, act_dep_time",string,"regexr_transform, trim, upper, mass_edit",
114,Count the number of flights operated by each airline carrier.,Counting and Grouping,src,string ,"regexr_transform, trim, upper, mass_edit",
115,Identify the most frequent flight number in the dataset.,Counting and Grouping,flight,string ,"regexr_transform, trim, upper",
116,Determine the number of flights arriving in the evening (after 6 PM).,Filtering and Specific Queries,sched_arr_time,date,"regexr_transform, trim, upper",
117,Group flights by airline carrier and count the number of on-time arrivals.,Counting and Grouping,"src, act_arr_time, sched_arr_time","string, date","regexr_transform, trim, upper, mass_edit",
118,"Classify flights based on whether they are ""on-time,"" ""early,"" or ""delayed.""",Category or Type Classification,"sched_dep_time, act_dep_time",date,"regexr_transform, trim, upper",
119,"Categorize flights based on arrival times into ""A.M."" and ""P.M."".",Category or Type Classification,sched_arr_time,date,"regexr_transform, trim, upper",
120,"Identify which airline carrier handles the most ""delayed"" flights.",Category or Type Classification,"src, sched_dep_time, act_dep_time","string, date","regexr_transform, trim, upper, mass_edit",
121,Detect flights where the actual departure time is earlier than scheduled.,Filtering and Specific Queries,"act_dep_time, sched_dep_time",date,"regexr_transform, trim, upper",
122,"Identify flights with unrealistic durations (e.g., arrival time before departure time).",Filtering and Specific Queries,"act_dep_time, act_arr_time",date,"regexr_transform, trim, upper",
123,Analyze the trend of delayed departures by hour of the day.,Time-based Analysis,"sched_dep_time, act_dep_time",date,"regexr_transform, trim, upper",
124,Identify the hour with the highest number of on-time arrivals.,Time-based Analysis,"sched_arr_time, act_arr_time",date,"regexr_transform, trim, upper",
125,Track the monthly performance of airline carriers in terms of on-time departures.,Time-based Analysis,"src, sched_dep_time, act_dep_time","string, date","regexr_transform, trim, upper, mass_edit",
126,List the top 5 flights with the largest discrepancy between scheduled and actual times.,Filtering and Specific Queries,"sched_dep_time, act_dep_time, sched_arr_time, act_arr_time",date,"regexr_transform, trim, upper",
