ID,Purposes,tg_columns
1,Find the longest menu served (by page count).,page_count
2,What is the average page numbers for the menus?,page_count
3,Determine the number of distinct event types in the dataset.,event
4,"List number of rows where the menu event is specifically marked as ""DINNER"".",event
5,"List number of rows where the menu event is marked as ""LUNCHEON""",event
6,Identify the number of unique venues present in the dataset.,venue
7,Find number of menus that are for Daily used occasion.,occasion
8,"Determine the number of unique occasions in the dataset, replacing any missing values with UNKNOWN",occasion
9,Evaluate whether the menu page design needs redesign by identifying the highest dish count-to-page count ratio.,"page_count, dish_count"
10,Calculate the average dish count per menu.,dish_count
11,Identify the menu with the highest dish count-to-page count ratio.,"page_count, dish_count"
12,"Identify how many locations offer menus with more than 8 pages, replacing any missing or unexist locations with
""UNKNOWN"".","page_count, location"
13,Identify sponsors who have published that they accept Dollars.,"sponsor, currency"
14,Find the sponsors that offer the highest number of dishes on their menu.,"sponsor, dish_count"
15,Identify which sponsors offer breakfast.,"sponsor, event"
16,Identify which sponsors offer lunch.,"sponsor, event"
17,Identify which sponsors offer dinner.,"sponsor, event"
18,Identify sponsors that have two or more events available.,"sponsor, event"
19,Determine the average number of pages for menus across different venues.,"page_count, venue"
20,Count the number of unique sponsors in the dataset.,sponsor
21,List the number of rows where the event is specifically marked as 'BANQUET.',event
22,Determine the total number of unique occasions across all menus.,occasion
23,Identify the top three venues with the highest average dish count per menu.,"venue, dish_count"
24,"Classify menus by their status, i.e., how many different status recorded in the table.",status
25,Identify menus where sponsors accept dollers as currency.,"sponsor, currency"
26,Analyze the trend of menu publication over time by counting the number of menus published per year.,date
27,"Evaluate whether menus created in later years (e.g., after 1950) tend to have higher dish count-to-page count ratio.","date, page_count, dish_count"
28,Identify venues where the page count exceeds 10.,"page_count, venue"
29,Filter menus where the occasion column contains 'DAILY'.,occasion
30,How many different types of currency in menus?,currency
31,Count how many types of risks are recorded in the dataset.,Risk
32,What percentages of businesses are inspected as out of business?,Results
33,Identify the main facility types that are inspected.,Facility Type
34,Identify which facility types are inspected least frequently.,Facility Type
35,Count the unique types of inspections.,Inspection Type
36,"List all failed inspections for the establishment with the DBA name ""7-Eleven.""","DBA Name, Results"
37,"Calculate the inspection passing rate (number of passing inspections/total inspections) for each brand (the same DBA Name), 
sorting to identify the best brand.","DBA Name, Results"
38,List the facilities with the best inspection ratings: Risk 3 (Low).,"Facility Type, Risk"
39,List the facilities with the worst inspection ratings: Risk 1 (High).,"Facility Type, Risk"
40,Identify the most frequently occurring risk rating for each facility type.,"Facility Type, Risk"
41,Identify the facility type associated with the high public risk (risk level is Risk 1).,"Facility Type, Risk"
42,Determine how many grocery stores are classified as high risk (Risk 1).,"Facility Type, Risk"
43,Find the most common result for each facility.,"Facility Type, Results"
44,Explore the proportion of inspections that result in a positive outcome.,Results
45,Calculate the average number of inspections per facility type.,"Facility Type, Inspection ID"
46,"What is the correlation between risk level and risk label? For example, is risk 1 always with high?",Risk
47,Determine the facility type with the highest failure rate.,"Facility Type, Results"
48,List the franchise with the most frequent inspections.,"DBA Name, Inspection ID"
49,"Determine the number of school restaurants that are the safest in terms of standards and quality, 
as indicated by the lowest risk level and inspection results.","Facility Type, Risk, Results"
50,Count the number of inspections conducted as part of a complaint.,Inspection Type
51,Locate facilities with positive inspection results.,"Facility Type,Results"
52,"Identify the addresses of facilities that are considered safe for food consumption based on risk (Risk 3 (Low)) 
and inspection results (pass).","Address, Risk, Results"
53,"List the inspection results for all businesses with ""Risk 1 (Low).""","Risk, Results"
54,Determine the most recent year of inspection dates.,Inspection Date
55,Identify the most occurred business names.,DBA Name
56,List license IDs with the best inspection results (Pass).,"License #, Results"
57,Identify businesses where the inspection risk level varies significantly over time.,"DBA Name, Risk, Inspection Date"
58,Identify the most common risk levels for inspections conducted in restaurant.,"Facility Type, Risk"
59,Identify businesses inspected on the most recent date.,"DBA Name, Inspection Date"
60,Determine the id of facility type that are inspected in the most recent date.,"Facility Type, Inspection ID, Inspection Date"
62,Calculate the average loan amount across all PPP loans.,LoanAmount
63,What's the highest LoanAmount?,LoanAmount
64,What's the lowest LoanAmount?,LoanAmount
65,Report all NAICS Codes that indicate job counts greater than 3.0.,"NAICSCode, JobsReported"
66,Examine if a correlation exists between jobs reported and the loan amount received.,"JobsReported, LoanAmount"
67,Determine how many PPP loans were disbursed in the city of Honolulu.,City
68,Identify the top 10 business types that received the most PPP loans.,"BusinessType, LoanAmount"
69,Identify the types of businesses that received the highest amount of PPP loans and the corresponding dollar amounts.,"BusinessType, LoanAmount"
70,Identify the types of businesses that received the lowest amount of PPP loans and the corresponding dollar amounts.,"BusinessType, LoanAmount"
71,Check if multiple PPP loans were made to distinct companies sharing the same Zip code.,"BusinessType, Zip"
72,"For a given zip code, determine how many loans were provided.","Zip, LoanAmount"
73,"For a given zip code, calculate the total amount of all loans provided.","Zip, LoanAmount"
74,Which gender type received the most amount of PPP loans and dollar amount?,"Gender, LoanAmount"
75,Which gender type districts received the least  amount of PPP loans and dollar amount?,"Gender, LoanAmount"
76,Identify the cities that received the highest amount of PPP loans and the corresponding dollar amounts.,"City, LoanAmount"
77,Identify the cities that received the lowest amount of PPP loans and the corresponding dollar amounts.,"City, LoanAmount"
78,Determine the zip codes that received the highest amount of PPP loans and the corresponding dollar amounts.,"Zip, LoanAmount"
79,Determine the zip codes that received the lowest amount of PPP loans and the corresponding dollar amounts.,"Zip, LoanAmount"
80,Determine which races received the highest amount of PPP loans and the corresponding dollar amounts.,"RaceEthnicity, LoanAmount"
81,Determine which races received the lowest amount of PPP loans and the corresponding dollar amounts.,"RaceEthnicity, LoanAmount"
87,Calculate the ratio of total Loan Amount to Jobs Reported in each city (total Loan Amount in the city divided by total Jobs Reported in the city).,"City, LoanAmount, JobsReported"
89,"Identify geography that have the highest loan amounts. Geography defined by the fields City, State, and Zip Code.","City, LoanAmount, Zip"
92,Calculate the average number of times each dish has appeared on the menu.,times_appeared
93,"Identify which dishes have been on the menu for the shortest duration, based on their 'first_appeared' and 'last_appeared' dates.","name"
94,"Identify which dishes have been on the menu for the longest duration, based on their 'first_appeared' and 'last_appeared' dates.","name"
98,Identify the cheapest dish based on the lowest price.,"name, lowest_price"
99,Identify the most expensive dish based on the highest price.,"name, highest_price"
100,Find dishes that first appeared before the year 2000.,"name"
101,Identify which dishes were the first to appear on the menu.,"name"
