ID,Purposes,Purpose,Category
1,Find the longest menu served (by page count).,Find the longest menu served (by page count),Descriptive Statistics
2,What is the average page numbers for the menus?,What is the average page numbers for the menus?,Descriptive Statistics
3,Determine the number of distinct event types in the dataset.,Determine the number of distinct event types in the dataset.,Counting and Grouping
4,"List number of rows where the menu event is specifically marked as ""DINNER"".","List number of rows where the menu event is specifically marked as ""DINNER"".",Counting and Grouping
5,"List number of rows where the menu event is marked as ""LUNCHEON""","List number of rows where the menu event is marked as ""LUNCHEON""",Counting and Grouping
6,Identify the number of unique venues present in the dataset.,Identify the number of unique venues present in the dataset.,Counting and Grouping
7,Find number of menus that are for Daily used occasion.,Find number of menus that are for Daily used occasion.,Category or Type Classification
8,"Determine the number of unique occasions in the dataset, replacing any missing values with UNKNOWN","Determine the number of unique occasions in the dataset, replacing any missing values with UNKNOWN",Category or Type Classification
9,Evaluate whether the menu page design needs redesign by identifying the highest dish count-to-page count ratio.,Evaluate whether the menu page design needs redesign by identifying the highest dish count-to-page count ratio.,Time-based Analysis
12,"Identify how many locations offer menus with more than 8 pages, replacing any missing or unexist locations with
""UNKNOWN"".","Identify how many locations offer menus with more than 8 pages, replacing any missing or unexistent locations with ""UNKNOWN"".",Filtering and Specific Queries
13,Identify sponsors who have published that they accept Dollars.,Identify sponsors who have published that they accept Dollars.,Category or Type Classification
14,Find the sponsors that offer the highest number of dishes on their menu.,Find the sponsors that offer the highest number of dishes on their menu.,Descriptive Statistics
15,Identify which sponsors offer breakfast.,Identify which sponsors offer breakfast.,Category or Type Classification
16,Identify which sponsors offer lunch.,Identify which sponsors offer lunch.,Category or Type Classification
17,Identify which sponsors offer dinner.,Identify which sponsors offer dinner.,Category or Type Classification
18,Identify sponsors that have two or more events available.,Identify sponsors that have two or more events available.,Category or Type Classification
31,Count how many types of risks are recorded in the dataset.,Count how many types of risks are recorded in the dataset.,Counting and Grouping
32,What percentages of businesses are inspected as out of business? ,What percentages of businesses are inspected as out of business?,Descriptive Statistics
33,Identify the main facility types that are inspected.,Identify the main facility types that are inspected.,Counting and Grouping
34,Identify which facility types are inspected least frequently.,Identify which facility types are inspected least frequently.,Counting and Grouping
36,"List all failed inspections for the establishment with the DBA name ""7-Eleven.""","List all failed inspections for the establishment with the DBA name ""7-Eleven.""",Filtering and Specific Queries
37,"Calculate the inspection passing rate (number of passing inspections/total inspections) for each brand (the same DBA Name), 
sorting to identify the best brand.","Calculate the inspection passing rate (number of passing inspections/total inspections) for each brand (the same DBA Name), sorting to identify the best brand.",Descriptive Statistics
38,List the facilities with the best inspection ratings: Risk 3 (Low).,List the facilities with the best inspection ratings: Risk 3 (Low).,Descriptive Statistics
