,accuracy,semantic_similarity,precision,recall,f1,bertscore_p,bertscore_r,bertscore_f1,pp_id
0,1.0,1.0,1.0,1.0,1.0,1.0000004768371582,1.0000004768371582,1.0000004768371582,1
1,0.0,0.0,0.0,0.0,0.0,0.9998127818107605,0.9998127818107605,0.9998127818107605,5
2,0.0,0.5,0.0,0.0,0.0,0.9993555545806885,0.9993555545806885,0.9993555545806885,10
3,0.0,0.8444444444444444,0.6666666666666666,1.0,0.8,0.9635640978813171,0.9807546734809875,0.9720834493637085,25
4,0.0,0.9078947368421053,0.0,0.0,0.0,0.9851235747337341,0.9843847751617432,0.9847539663314819,26
5,0.0,0.6666666666666666,0.0,0.0,0.0,0.999755322933197,0.999755322933197,0.999755322933197,27
6,0.0,0.912,0.8,1.0,0.888888888888889,0.9770352244377136,0.9882436990737915,0.9826075434684753,30
7,1.0,1.0,1.0,1.0,1.0,0.9999995827674866,0.9999995827674866,0.9999995827674866,32
8,0.0,0.6923076923076923,0.14285714285714285,0.3333333333333333,0.2,0.8640371561050415,0.9356447458267212,0.8984163403511047,34
9,1.0,1.0,1.0,1.0,1.0,1.0000004768371582,1.0000004768371582,1.0000004768371582,35
10,0.0,0.06896551724137931,0.0,0.0,0.0,0.810858964920044,0.7604449987411499,0.7848432064056396,38
11,0.0,0.8631578947368421,0.75,1.0,0.8571428571428571,0.9587586522102356,0.9758436679840088,0.9672257304191589,41
12,0.0,0.0,0.0,0.0,0.0,0.9996641874313354,0.9996641874313354,0.9996641874313354,42
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,52
14,1.0,1.0,1.0,1.0,1.0,0.9999995231628418,0.9999995231628418,0.9999995231628418,54
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,113
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,126
18,0.0,0.6666666666666666,0.0,0.0,0.0,0.9759014248847961,0.9738724827766418,0.9748859405517578,130
19,0.0,0.5,0.0,0.0,0.0,0.9997171759605408,0.9997171759605408,0.9997171759605408,135
